Model,CPU,GPU,Storage capacity,RAM,OS,UI,Size,Weight,Display,Keyboard,Camera,Other
Acer DX900[51],533 MHz Samsung S3C6400,-,256 MB,128 MB,Windows Mobile 6.1,SPB Mobile Shell[52],112 cm³,147 g,2.8" 480 × 640,Soft QWERTY,3.15 MP AF and flash (rear); 0.31 MP (front),accelerometer aGPS dual SIM microSDHC
Apple iPhone 3GS[53],600 MHz ARM Cortex-A8,PowerVR SGX 535,8 16 or 32 GB,256 MB,iOS 3 upgradeable to iOS 6,SpringBoard,88.2 cm³,135 g,3.5" 320 × 480,Soft QWERTY,3 MP AF,3-axis accelerometer aGPS multi-touch proximity and ambient light sensors digital compass Wi-Fi b/g Bluetooth 2.1+EDR
HTC Hero,528 MHz Qualcomm MSM7200A ARM11,-,512 MB,288 MB,Android 1.5 upgradable to 2.1,HTC Sense,90.3 cm³112 × 56.2 × 14.35 mm,135 g,3.2" 320 × 480,Soft QWERTY,5 MP with AF,3-axis accelerometer aGPS multi-touch ambient light sensors microSD FM radio compass Wi-Fi b/g Bluetooth 2.0+EDR
HTC Magic,528 MHz Qualcomm MSM7200A ARM11,-,512 MB,288 MB,Android 1.6 upgradable to 2.2.1,-,85.7 cm³113 × 55.6 × 13.7 mm,116 g,3.2" 320 × 480,Soft QWERTY,3.2 MP with AF,3-axis accelerometer multi-touch aGPS microSD FM radio digital compass Wi-Fi b/g Bluetooth 2.0+EDR
HTC Max 4G,528 MHz Qualcomm ESM7206A,-,8.1 GB,288 MB,Windows Mobile 6.1,HTC TouchFlo3D,100 cm³,151 g,3.8" 480 × 800,Soft QWERTY,3.15 MP AF 0.31 MP,accelerometer aGPS FM radio microSDHC WiMAX
HTC Tattoo,528 MHz Qualcomm MSM7225,Adreno 205,512 MB,256 MB,Android 1.6,-,81.9 cm³106 × 55.2 × 14 mm,113 g,2.8" 240 × 320,Soft QWERTY,3.2 MP Fixed focus,aGPS microSDHC 3-axis accelerometer digital compass FM radio Wi-Fi b/g Bluetooth 2.0+EDR&A2DP
HTC Touch Diamond2,528 MHz Qualcomm MSM7200A,Adreno 130,512 MB,288 MB,Windows Mobile 6.1 upgradable to 6.5,HTC TouchFlo3D,78 cm³,118 g,3.2" 480 × 800,Soft QWERTY,4.92 MP AF 0.31 MP,accelerometer aGPS FM radio microSDHC
HTC Touch Pro2[54],528 MHz Qualcomm MSM7200A,Adreno 130,512 MB,288 MB,Windows Mobile 6.1 upgradable to 6.5,HTC TouchFlo3D,118 cm³,175 g,3.6" 480 × 800,Slide-out QWERTY,3.15 MP AF with flash 0.31 MP,accelerometer aGPS FM radio microSDHC
Motorola Droid,550 MHz ARM Cortex-A8,PowerVR SGX 530,512 MB,256 MB,Android 2.0 upgradable to 2.2,-,91 cm³,169 g,3.7" 854 × 480,Slide-out QWERTY keyboard,5.0 megapixel with AF and flash,accelerometer aGPS multi-touch proximity sensor digital compass microSDHC
Nokia E72[55],600 MHz ARM11 processor,-,256 MB,128 MB,Symbian 9.3 S60 3rd Edition Feature Pack 2,-,65 cm³114 × 58.3 × 10.1 mm,128 g,2.4" 320 × 240,Full QWERTY,5.0 MP AF LED flash,aGPS accelerometer magnetometer microSDHC
Nokia N900[56],600 MHz ARM Cortex-A8 (Texas Instruments OMAP3430),PowerVR SGX 530, 32 GB,256 MB,Maemo 5 Linux,Hildon,113 cm³110.9 × 59.8 × 18-19.55 mm,181 g,3.5" 800×480,Slide-down QWERTY,5 MP f/2.8 AF rear with dual LED flash; 0.3 MP VGA front,aGPS microSDHC proximity sensor accelerometer FM radio RX and TX
Nokia N97[57],434 MHz ARM11,-, 32 GB,128 MB,Symbian 9.4 S60 5th Edition,-,88 cm³  117.2 × 55.3 × 15.9-18.3 mm,150 g,3.5" 640 × 360,Full QWERTY,5 MP,aGPS microSDHC
Nokia N97 Mini,434 MHz ARM11,-, 8 GB,128 MB,Symbian 9.4 S60 5th Edition,-,75 cm³  113 × 52.5 × 14.2 mm,138 g,3.2" 640 × 360,Full QWERTY,5 MP,aGPS microSDHC
Palm Pre[58],600 MHz Texas Instruments OMAP3430,-, 8 GB,256 MB,webOS 1.0 upgradable to 1.4.5,-,101.4 cm³,135 g,3.1" 320 × 480,Slide-down QWERTY,3.0 MP with LED flash,aGPS ambient light accelerometer and proximity sensors
Samsung SGH-i8000 Omnia II,800 MHz Samsung ARM11 S3C6410,-, 16 GB,256 MB,Windows Mobile 6.5,TouchWiz 2.0,86.5 cm³  118 × 59.6 × 12.3 mm,117 g,3.7" 480 × 800 AMOLED,Soft QWERTY,5 MP AF with dual LED flash face and smile detection,GPS aGPS accelerometer FM radio w/ RDS microSDHC digital compass ambient light and proximity sensors Wi-Fi b/g Bluetooth 2.0+EDR stereo DLNA
Toshiba TG01, 1 GHz Qualcomm QSD2850 Snapdragon,Adreno 200,512 MB,256 MB,Windows Mobile 6.1,-,84 cm³,129 g,4.1" 800 × 480,Soft QWERTY,3.1 MP (rear); 0.3 MP (front),aGPS microSDHC
