Model,CPU,Storage capacity,RAM,OS,UI,Dimensions,Weight
Apple iPhone 5,1.3 GHz dual-core Apple A6,PowerVR SGX543MP3,16 GB 32 GB or 64 GB,1 GB,iOS 6 upgradeable to iOS 10,SpringBoard,123.8 × 58.6 × 7.6 mm
HTC One X, 1.5 GHz quad-core ARM Cortex-A9 Nvidia Tegra 3,ULP GeForce (@520 MHz), 32 GB, 1 GB,Android 4.0.3/4.0.4,HTC Sense 4.0/4.1,-
HTC One X+, 1.7 GHz Quad core ARM Cortex-A9 Nvidia Tegra 3,ULP GeForce (@520 MHz),64 GB,1 GB,Android 4.1.1,HTC Sense 4+,134.36 × 69.9 × 8.9 mm
Nexus 4[28],1.5 GHz quad-core Snapdragon S4 Pro,Adreno 320,8 GB or 16 GB,2 GB,Android 4.3 (Jelly Bean),-,133.9 × 68.7 × 9.1 mm
Nokia Lumia 900, 1.4 GHz Qualcomm APQ8055 (Snapdragon S2),Adreno 205,16 GB,512 MB,Windows Phone 7.5,-,90 cm³  127.8 × 68.5 × 11.5 mm
Nokia Lumia 920, 1.5 GHz Qualcomm APQ8055 (Snapdragon S4),Adreno 225,32 GB,1 GB,Windows Phone 8,-,99 cm³  130.3 × 70.8 × 10.7 mm
Samsung Galaxy Note II,1.6 GHz quad-core Cortex-A9,ARM Mali-400MP,16 32 or 64 GB flash memory,2 GB,Android 4.1.1 (Jelly Bean),TouchWiz "Nature UX",108 cm³ 151.1 mm (5.95 in) x 80.5 mm (3.17 in) x 9.4 mm (0.37 in)
Samsung Galaxy S III[30][31][32][33],1.5 GHz dual-core Snapdragon S41.4 GHz quad-core Exynos,Adreno 225 400 MHzMali-400 MP, 16 32 or 64 GB + 32 GB micro SD, 2 GB,Android 4.04,TouchWiz,136.6×70.6×9.0 mm
Sony Xperia T, 1.5 GHz dual-core Snapdragon S4 Plus,Adreno 225, 16 GB, 1 GB,Android 4.0,Timescape UI PlayStation Certified,129 × 65 × 10.7 mm
Sony Xperia S[34], 1.5 GHz Qualcomm MSM 8260 1.5 GHz Dual Core,Adreno 220, 32 GB eMMC, 1 GB,Android 2.3 (upgradable to ICS 4.0.4),Timescape UI PlayStation Certified,86.8 cm³  128 × 64 × 10.6 mm
Samsung ATIV S, 1.5 GHz Qualcomm Snapdragon S4 MSM8960 dual-core,Adreno 225,16 or 32 GB + microSD,1 GB,Windows Phone 8,-,84.151cm³ 137.2 x 70.5 x 8.7mm
