Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,UI,Size
Microsoft Lumia 950,Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,microSD up to 200 GB,3 GB LPDDR3,Windows 10 Mobile,-,145 x 73.2 x 8.5 mm
Microsoft Lumia 950 XL,Snapdragon 810,Quad-core 2 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Adreno 430,32 GB,microSD up to 200 GB,3 GB LPDDR4,Windows 10 Mobile,-,151.9 x 78.4 x 8.1 mm
HTC One M9,Snapdragon 810,Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57,Adreno 430,32 GB 64 GB,microSDXC up to 2 TB,3 GB LPDDR4,Android 5.0 Lollipop upgradable to v6.0.1 Android Marshmallow,HTC Sense UI 7.0,144.6 x 69.7 x 9.6 mm
LG V10,Snapdragon 808,Quad-core 1.44 GHz Cortex-A53 & dual-core 1.82 GHz Cortex-A57,Adreno 418,64 GB,microSD up to 200 GB,4 GB,Android 5.1.1 Lollipop,LG UX,159.6 x 79.3 x 8.6 mm
Nexus 6P,Snapdragon 810,Quad-core 2.0 GHz Cortex A53 & quad-core 1.5 GHz Cortex A57,Adreno 430,32 GB 64 GB 128 GB,-,3 GB LPDDR4,Android 6.0 Marshmallow,-,159.3 x 77.8 x 7.3 mm
Nexus 5X[4],Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,16 GB 32 GB,-,2 GB LPDDR3,Android 6.0 Marshmallow,-,147 x 72.6 x 7.9 mm
BlackBerry Priv[5],Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,• Hot-swappable MicroSD slot (up to 2TB),3 GB LPDDR3,Android 5.1.1 Lollipop,-,147 (184 opened) x 77.2 x 9.4 mm
Sony Xperia Z3+,Snapdragon 810,Quad-core 1.5 GHz Cortex-A53 & Quad-core 2 GHz Cortex-A57,Adreno 430,32 GB,microSD up to 128 GB,3 GB LPDDR4,Android 5.0 Lollipop planned upgrade to v6.0 (Marshmallow),Xperia UI,146 x 72 x 6.9 mm
Moto X Play,Snapdragon 615,Quad-core 1.7 GHz Cortex-A53 & Quad-core 1.0 GHz Cortex-A53,Adreno 405,16 GB 32 GB,microSD up to 128 GB,2 GB LPDDR3,Android 5.1.1 Lollipop,None,148 x 75 x 10.9 mm
Moto X Style,Snapdragon 808,Quad-core 1.4 GHz Cortex-A53 & Dual-core 1.8 GHz Cortex-A53,Adreno 418,16 GB 32 GB 64 GB,None,3 GB LPDDR4,Android 5.1.1 Lollipop,None,153 x 76.2 x 11.1 mm
LG G4[6],Snapdragon 808,Dual-core 1.82 GHz Cortex-A57 & Quad-core 1.44 GHz Cortex-A53,Adreno 418,32 GB,microSDXC up to 2 TB,3 GB LPDDR3,Android 5.1 Lollipop,LG UX 4.0 UI,148.9 x 76.1 x 6.3 - 9.8 mm
OnePlus 2,Snapdragon 810,Quad-core Cortex-A53 & Quad-core 1.8 GHz Cortex-A57,Adreno 430,16 GB 64 GB,no external memory slot,3 or 4 GB LPDDR4,Android 5.1.1 Lollipop upgradable to  Android 6.0.1 Marshmallow,Oxygen OS 2.0,151.8 x 74.9 x 9.85 mm
Apple iPhone 6S[7],Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,16 GB 64 GB 128 GB,no external memory slot,2 GB LPDDR4,iOS 9 upgradeable to iOS 11,SpringBoard,138.3 x 67.1 x 7.1 mm
Apple iPhone 6S Plus[8],Apple A9,Dual-core 1.85 GHz,PowerVR GT7600,16 GB 64 GB 128 GB,no external memory slot,2 GB LPDDR4,iOS 9 upgradeable to iOS 11,SpringBoard,158.2 x 77.9 x 7.3 mm
Samsung Galaxy S6,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,32 GB 64 GB 128 GB,no external memory slot,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,143.4 x 70.5 x 6.8 mm
Samsung Galaxy S6 Edge,Samsung Exynos 7 Octa 7420,Quad-core 2.1 GHz Cortex-A57 & Quad-core 1.5 GHz Cortex-A53,Mali-T760 MP8,32 GB 64 GB 128 GB,no external memory slot,3 GB LPDDR4,Android 5.0.2 Lollipop,Touchwiz,142 x 70.1 x 7 mm
