Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Display,Camera
Razer Phone,Snapdragon 835,Octa-core2.35 GHz,Adreno 540,64 GB,256GB microSDXC,8 GB,Android 7.1 "Nougat",Nova Launcher Prime,158.5 x 77.7 x8 mm,197 g,4000 mAh Li-Ion non-removable battery,5.7" 2560x1440 120 Hz,Dual 12 MP (rear camera) 8 MP (front camera)
Samsung Galaxy Note 8,Snapdragon 835Exynos 8895,Octa-core2.35 GHz,Adreno 540ARM Mali-G71 MP20,64/128/256 GB,256GB microSDXC,6 GB,Android 8.0 "Oreo",Samsung Experience,162.5 x 74.8 x8.6 mm,195 g,3300 mAh Li-Ion non-removable battery,6.3" 2960x1440 AMOLED,Dual 12 MP (rear camera) 8 MP (front camera)
Samsung Galaxy Note FE,Exynos 8890,Quad-core 2.6 GHz Exynos M1 & Quad-core 2.3 GHz Cortex A53,Mali-T880 MP12,64 GB,256 GB microSDXC,4 GB,8.0 Oreo,Samsung Experience,153.5 x 73.9 x7.9 mm,167 g,3200 mAh Li-Ion non-removable battery,5.7" 2560x1440 AMOLED,12 MP (rear camera) 5 MP (front camera)
Essential Phone,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,128 GB,None,4 GB,Android 7.1.1 "Nougat",-,141.5 x 71.1 x7.8 mm,185 g,3040 mAh,5.71" 2560 x 1312,13 MP color + 13 MP monochrome(rear camera)8 MP (front camera)
Pixel 2 XL,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,64 GB or 128 GB,None,4 GB LPDDR4X,Android 8.0 "Oreo",-,157.9 x 76.7 x7.9 mm,175 g,3520 mAh,6" 2880 × 1440 P-OLED,12.2 MP (rear camera) 8 MP (front camera)
Pixel 2,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,64 GB or 128 GB,None,4 GB LPDDR4X,Android 8.0 "Oreo",-,145.7 x69.7 x 7.8 mm,143 g,2700 mAh,5" 1920 × 1080 AMOLED,12.2 MP (rear camera) 8 MP (front camera)
Huawei P10/P10 Plus,HiSilicon Kirin 960,Octa-core 2.4 GHz,Mali-G71 MP8,64 GB or 128 GB,256GB MicroSD,4 GB (P10)6 GB (P10 Plus),Android 7.0 Nougat,Emotion UI 5.1,145.3 x 69.3 x6.98 mm (P10)153.5 x 74.2 x6.98 mm(P10 Plus),145 g (P10)165 g (P10 Plus),3200 mAh(P10)3750 mAh(P10 Plus),5.1" 1920×1080 (P10) 5.5" 2560×1440 (P10 Plus),12 MP and 20 MP (rear)8 MP (front camera)
Huawei Mate 10/Mate 10 Pro/Porsche Design Mate 10,HiSilicon Kirin 970,Octa-core 4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53,Mali-G72 MP12,64 GB or 128 GB,No,4 GB (64 GB)6 GB (128 GB),Android 8.0 Oreo,Emotion UI 5.1,154.2 x 74.5 x7.9 mm,178 g,4000 mAh,6.0" 1080×2160 18:9 ratio,Rear (Dual) : 12 MP (f/1.6 OIS) + 20 MP (f/1.6)Front (Single): 8 MP; (f/2.0)
HTC U Ultra,Snapdragon 821,Octa-core2.15 GHz,Adreno 530,64 GB or 128 GB,512GB MicroSD,4 GB,Android 8.0 "Oreo",HTC Sense 8.0,162.4 x 79.8 x8 mm,170g,3000 mAh,5.7" 2560×1440 + 2.05" 1040x160,12 MP (rear)16 MP (front camera)
HTC U11,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,64 GB or 128 GB,512GB MicroSD,4 or 6 GB,Android 8.0 "Oreo",HTC Sense 8.0,153.9 x 75.9 x7.9 mm,169 g,3000 mAh,5.5" 2560×1440,12 MP (rear)16 MP (front camera)
HTC U11+,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,64 GB or 128 GB,512GB MicroSD,4 or 6 GB,Android 8.0 "Oreo",HTC Sense 8.0,158.5 x 74.9 x8.5 mm,188 g,3930 mAh,6" 2880×1440,12 MP (rear)8 MP (front camera)
Nokia 8,Snapdragon 835,Octa-core2.45 GHz,Adreno 540,64 GB or 128 GB,256GB MicroSD,4 or 6 GB,Android 7.1 "Nougat",-,151.5 × 73.7× 7.9 mm ,160 g,3090 mAh Li-Po non removable battery,5.3" 2560 x 1440,13 MP (rear)13 MP (front camera)
LG G6,Snapdragon 821,Dual-core 2.35 GHz & Dual-core 1.6 GHz Kryo,Adreno 530,64 GB or 32 GB,2000 GB (2TB max.) microSDXC,4 GB LPDDR4 RAM,Android 7.0 "Nougat",LG UX,148.9 x 71.9 x 7.9 mm,162 g,3300 mAh Li-Po non removable battery,5.7" 2880×1440,Dual 13 MP (rear camera) 5 MP (front camera)
LG V30,Snapdragon 835,Octa-core (4x2.45 GHz & 4x1.9 GHz) Kryo,Adreno 540,64 GB (V30) or 128 GB (V30+),Up to 2 TB MicroSD,4 GB,Android 7.1"Nougat",LG UX,151.7 mm x75.4 mm x7.4 mm ,158 g,3300 mAh Li-Po non removable battery,6" 2880×1440 P-OLED,16 MP & 13 MP wide-angle (rear) 5 MP (front)
