Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Meizu Note 9,Snapdragon 675,Octa-core2 GHz (2x 2 GHz Kryo 460 Gold + 6x 1.7 GHz Kryo 460 Silver),Adreno 612,64 or 128 GB,None,4/6 GB,Android 9.0 "Pie",Flyme 7.2,153.1 x 74.4 x 8.7 mm,170g,4000 mAh,USB-C18W,6.2" 2244x1080 LCD,Dual 48 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Meizu 16Xs,Snapdragon 675,Octa-core2 GHz (2x 2 GHz Kryo 460 Gold + 6x 1.7 GHz Kryo 460 Silver),Adreno 612,64 or 128 GB,None,6 GB,Android 9.0 "Pie",Flyme 8,152 x 74.4 x 8.3 mm,165g,4000 mAh,USB-C24W,6.2" 2232x1080 AMOLED,Triple 48 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under screen,Yes
Meizu 16s,Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,None,6/8 GB,Android 9.0 "Pie",Flyme 7.3,151.9 x 73.4 x 7.6 mm,165g,3600 mAh,USB-C24W,6.2" 2232x1080 AMOLED,Dual 48 MP + 20 MP (rear camera) 20 MP (front camera),Under screen,Yes
Meizu 16T,Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,None,6/8 GB,Android 9.0 "Pie",Flyme 8,159.6 x 78.2 x 8.3 mm,183g,4500 mAh,USB-C 18W,6.5" 2232x1080 AMOLED,Triple 12 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under screen,Yes
Meizu 16s Pro,Snapdragon 855+,Octa-core2.96 GHz (1x 2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,None,6/8 GB,Android 9.0 "Pie",Flyme 8,151.9 x 73.4 x 7.7 mm,166g,3600 mAh,USB-C 24W,6.2'' 2232x1080 AMOLED,Triple 48 MP + 20 MP + 16 MP (rear camera) 20 MP (front camera),Under screen,Yes
Meizu M10,Mediatek Helio P25,Octa-core 2.6GHz (4x Cortex-A53 2.6GHz+4x Cortex-A53 1.6GHz),Mali-T880 MP2,32 GB,None,2/3 GB,Android 8.1 "Oreo",Flyme 7,164.8 x 76.3 x 8.45 mm,184g,4000mAh,Micro-USB,6.5'' 1600x720 LCD,Triple 13 MP + 2 MP + 2 MP (rear camera) 8 MP (front camera),Rear-Mounted,Yes
Smartisan Pro 3,Snapdragon 855+,Octa-core2.96 GHz (1x 2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,None,8/12 GB,Android 9.0 "Pie",Smartisan OS 7.0,156.66 x 74.38 x 7.8 mm,185g,4000 mAh,USB-C 18W,6.39'' 2340x1080 AMOLED,Quad 48 MP + 13 MP + 8 MP+ 5 MP (rear camera) 20 MP (front camera),Under screen,Yes
Redmi Note 7,Snapdragon 660,Octa-core2.2 GHz (4x 2.2 GHz + 4x 1.8 GHz Kryo 260),Adreno 512,32 or 64 GB,microSD up to 256 GB,3/4/6 GB,Android 9.0 "Pie",MIUI 10,159.2 x 75.2 x 8.1 mm,186g,4000 mAh,USB-C 18W,6.3" 2340x1080 IPS LCD,Dual 48 MP + 5 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Redmi Note 7 Pro,Snapdragon 675,Octa-core2 GHz (2x 2 GHz Kryo 460 Gold + 6x 1.7 GHz Kryo 460 Silver),Adreno 612,64 or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0 "Pie",MIUI 10,159.2 x 75.2 x 8.1 mm,186g,4000 mAh,USB-C 18W,6.3" 2340x1080 IPS LCD,Dual 48 MP + 5 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Redmi Note 8,Snapdragon 665,Octa-core2 GHz (4x 2 GHz Kryo 260 Gold + 4x 1.8 GHz Kryo 260 Silver),Adreno 610,64 or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0 "Pie",MIUI 10,158.3 x 75.3 x 8.4 mm,190g,4000 mAh,USB-C 18W,6.3" 2340x1080 IPS LCD,Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Redmi Note 8 Pro,MediaTek Helio G90T,Octa-core(2x Cortex-A76 + 6x Cortex-A55),Mali-G76MC4,64 or 128 GB,microSD up to 256 GB,6/8 GB,Android 9.0 "Pie",MIUI 10,161.3 x 76.4 x 8.8 mm,199g,4500 mAh,USB-C 18W,6.5" 2340x1080 IPS LCD,Quad 64 MP + 8 MP + 2x 2 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Redmi 8,Snapdragon 439,Octa-core(2x 1.95 GHz Cortex-A53 + 6x 1.45 GHz Cortex-A53) ,Adreno 505,32 or 64 GB,microSD up to 512 GB,3/4 GB,Android 9.0 "Pie",MIUI 9,156.5 x 75.4 x 9.4 mm,188g,5000 mAh,USB-C,6.2" 1520x720 IPS LCD,Dual 12 MP + 2 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Redmi 8A,Snapdragon 439,Octa-core(2x 1.95 GHz Cortex-A53 + 6x 1.45 GHz Cortex-A53) ,Adreno 505,32 GB,microSD up to 512 GB,2/3 GB,Android 9.0 "Pie",MIUI 10,156.5 x 75.4 x 9.4 mm,188g,5000 mAh,USB-C,6.2" 1520x720 IPS LCD,12 MP (rear camera) 8 MP (front camera),None,Yes
Redmi Go,Snapdragon 425,Quad core1.4 GHz,Adreno 308,8 GB,microSD up to 128 GB,1 GB,Android 8.1 "Oreo"  Android Go,-,140.4 x 70.1 x 8.4 mm,137g,3000 mAh,microUSB,5.0" 1280x720 IPS LCD,8 MP (rear camera)5 MP (front camera),None,None
Redmi K20/Xiaomi Mi 9T,Snapdragon 730,Octa-core 2.2 GHz (2x 2.2 GHz Kryo 470 Gold + 6x 1.8 GHz Kryo 470 Silver),Adreno 618,64/128/256 GB,None,6/8 GB,Android 9.0 "Pie",MIUI 10,156.7 x 74.3 x 8.8 mm,191g,4000 mAh,USB-C 18W,6.4" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 8 MP (rear) 20 MP (front),Under screen,Yes
Redmi K20 Pro/Xiaomi Mi 9T Pro,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64/128/256 GB,None,6/8 GB,Android 9.0 "Pie",MIUI 10,156.7 x 74.3 x 8.8 mm,191g,4000 mAh,USB-C 27W,6.4" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 8 MP (rear) 20 MP (front),Under screen,Yes
Redmi K20 Pro Prime Verson,Snapdragon 855+,Octa-core2.96 GHz (1x 2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128/512 GB,None,8/12 GB,Android 9.0 "Pie",MIUI 10,156.7 x 74.3 x 8.8 mm,191g,4000 mAh,USB-C 27W,6.4" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 8 MP (rear) 20 MP (front),-,Yes
Redmi K30/Poco X2,Snapdragon 730,Octa-core 2.2 GHz (2x 2.2 GHz Kryo 470 Gold + 6x 1.8 GHz Kryo 470 Silver),Adreno 618,64/128/256 GB,microSD up to 256 GB,6/8 GB,Android 10,MIUI 11,165.3 x 76.6 x 8.8 mm,208g,4500 mAh,USB-C 27W,6.7" 2400x1080 120Hz IPS LCD,Quad 64 MP + 8 MP + 2x 2 MP (rear) Dual 20 MP + 2 MP (front),Side-mounted,Yes
Redmi K30 5G,Snapdragon 765,Octa-core 2.4 GHz (1x 2.4 GHz Kryo 475 Prime + 1x 2.2 GHz Kryo 475 Gold + 6x 1.8 GHz Kryo 475 Silver),Adreno 620,64/128/256 GB,microSD up to 256 GB,6/8 GB,Android 10,MIUI 11,165.3 x 76.6 x 8.8 mm,208g,4500 mAh,USB-C 30W,6.7" 2400x1080 120Hz IPS LCD,Quad 64 MP + 8 MP + 2x 2 MP (rear) Dual 20 MP + 2 MP (front),Side-mounted,Yes
Xiaomi Mi 9,Snapdragon 855,Octa-core2.8 GHz (1x 2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,64 or 128 GB,None,6/8 GB,Android 9.0 "Pie",MIUI 10,157.5 x 74.7 x 7.6 mm,173g,3300 mAh,USB-C 27WWireless 20W MAX,6.4" 2340x1080 AMOLED,Triple 48 MP + 16 MP + 12 MP (rear camera) 20 MP (front camera),Under screen,Yes
Xiaomi Mi 9 Pro/Mi 9 Pro 5G,Snapdragon 855+,Octa-core2.96 GHz (1x 2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128/256/512 GB,None,8/12 GB,Android 10,MIUI 11,157.2 x 74.6 x 8.5 mm,196g,4000 mAh,USB-C 40WWireless 30W MAX,6.4" 2340x1080 AMOLED,Triple 48 MP + 16 MP + 12 MP (rear camera) 20 MP (front camera),Under screen,Yes
Xiaomi Mi CC9 Pro,Snapdragon 730,Octa-core2.2 GHz (2x 2.2GHz Kryo 470 Gold + 6x 1.8GHz Kryo 470 Silver),Adreno 618,128/256 GB,None,6/8 GB,Android 9.0 "Pie",MIUI 11,157.8 x 74.2 x 9.7 mm,208g,5260 mAh,USB-C 30W,6.5" 2340x1080 AMOLED,Penta 108 MP + 20 MP + 12 MP + 5 MP + 2 MP (rear camera) 32 MP (front camera),Under screen,Yes
Xiaomi Mi 9 SE,Snapdragon 712,2 + 6 cores (2.3 GHz Kryo 360 Gold – Cortex-A75 derivative + 1.7 GHz Kryo 360 Silver – Cortex-A55 derivative),Adreno 616,64/128 GB,None,6 GB,Android 9.0 "Pie",MIUI 10,147.5 x 70.5 x 7.45 mm,155g,3070 mAh,USB-C 18W,6.0" 2340x1080 AMOLED,Triple 48 MP + 8 MP + 13 MP (rear camera) 20 MP (front camera),Under screen,Yes
Oppo Reno A,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 GB,microSD up to 256 GB,6 GB,Android 9.0 "Pie",ColorOS 6,158.4 x 75.4 x 7.8 mm,170g,3600 mAh,USB-C,6.4" 2340x1080 AMOLED,Dual 16 MP + 2 MP (rear camera) 25 MP (front camera),Under screen,Yes
Oppo Reno,Snapdragon 710,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,128 or 256 GB,None,6/8 GB,Android 9.0 "Pie",ColorOS 6,156.6 x 74.3 x 9 mm,185g,3765 mAh,USB-C20W MAX,6.4" 2340x1080 AMOLED,Dual 48 MP + 5 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo Reno 10x Zoom,Snapdragon 855,Octa-core (1x 2.84 GHz + 3x 2.24 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,microSD up to 256 GB,6/8 GB,Android 9.0 "Pie",ColorOS 6,162 x 77.2 x 9.3 mm,210g,4065 mAh,USB-C20W MAX,6.6" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 8 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo Reno Z,MediaTek MT6779 Helio P90,Octa-core (2x 2.2 GHz Cortex-A75 + 6x 2 GHz Cortex-A55),PowerVR GM9446,128 or 256 GB,None,4/6/8 GB,Android 9.0 "Pie",ColorOS 6,157.3 x 74.9 x 9.1 mm,186g,4035 mAh,USB-C20W MAX,6.4" 2340x1080 AMOLED,Dual 48 MP + 5 MP (rear camera) 32 MP (front camera),Under screen,Yes
Oppo Reno2,Snapdragon 730,Octa-core (2x2.2 GHz 470 Gold & 6x1.8 GHz Kryo 460 Silver),Adreno 618,256 GB,microSD up to 256 GB,8 GB,Android 9.0 "Pie",ColorOS 6.1,160 x 74.3 x 9.5 mm,189g,4000 mAh,USB-C20W MAX,6.5" 2400x1080 AMOLED,Quad 48 MP + 13 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo Reno2 F,MediaTek MT6771V Helio P70,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,128 GB,microSD up to 256 GB,8 GB,Android 9.0 "Pie",ColorOS 6.1,162.4 x 75.8 x 8.7 mm,195g,4000 mAh,USB-C20W MAX,6.5" 2340x1080 AMOLED,Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo Reno2 Z,MediaTek MT6779 Helio P90,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,256 GB,microSD up to 256 GB,8 GB,Android 9.0 "Pie",ColorOS 6.1,162.4 x 75.8 x 8.7 mm,195g,4000 mAh,USB-C20W MAX,6.5" 2340x1080 AMOLED,Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo Reno Ace,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 485),Adreno 640,128/256 GB,microSD up to 256 GB,8/12 GB,Android 9.0 "Pie",ColorOS 6.1,161 x 75.7 x 8.7 mm,200g,4000 mAh,USB-C 65W,6.5" 2400x1080 AMOLED,Quad 48 MP + 13 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Oppo K5,Snapdragon 730,Octa-core (2x2.2 GHz 470 Gold & 6x1.8 GHz Kryo 460 Silver),Adreno 618,128/256 GB,None,6/8 GB,Android 9.0 "Pie",ColorOS 6.1,158.7 x 75.1 x 8.55 mm,182g,4000 mAh,USB-C30W MAX,6.4'' 2340x1080 AMOLED,Quad 64 MP + 8 MP + 2 MP + 2 MP (rear camera) 32 MP (front camera),Under Screen,Yes
Realme X,Snapdragon 710,Octa-core2.2 GHz (2x 2.2 GHz Kryo 360 Gold + 6x 1.7 GHz Kryo 360 Silver),Adreno 616,64 or 128 GB,None,4/6/8 GB,Android 9.0 "Pie",ColorOS 6,161.2 x 76 x 8.6 mm,191g,3765 mAh,USB-C 20W,6.5" 2340x1080 AMOLED,Dual 48 MP + 5 MP (rear) 16 MP (front),Under screen,Yes
Realme 5,Snapdragon 665,Octa-core2 GHz (4x2 GHz Kryo 260 Gold + 4x1.8 GHz Kryo 260 Silver),Adreno 610,32/64/128 GB,microSD up to 256 GB,3/4 GB,Android 9.0 "Pie",ColorOS 6,164.4 x 75.6 x 9.3 mm,198g,5000 mAh,microUSB 10W,6.5" 1600x720 IPS LCD,Quad 12 MP + 8 MP + 2x 2 MP (rear) 13 MP (front),Rear-mounted,Yes
Realme 5 Pro,Snapdragon 712,Octa-core2.3 GHz (2x2.3 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),Adreno 616,64 or 128 GB,microSD up to 256 GB,4/6/8 GB,Android 9.0 "Pie",ColorOS 6,157 x 74.2 x 8.9 mm,184g,4035 mAh,USB-C 20W,6.3" 2340x1080 IPS LCD,Quad 48 MP + 8 MP + 2x 2 MP (rear) 16 MP (front),Rear-mounted,Yes
Realme XT,Snapdragon 712,Octa-core2.3 GHz (2x2.3 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),Adreno 616,64 or 128 GB,microSD up to 256 GB,4/6/8 GB,Android 9.0 "Pie",ColorOS 6,158.7 x 75.2 x 8.6 mm,183g,4000 mAh,USB-C 20W,6.4" 2340x1080 AMOLED,Quad 64 MP + 8 MP + 2x 2 MP (rear) 16 MP (front),Under screen,Yes
