Model,CPU,Storage capacity,RAM,OS,UI,Size,Weight,Display,Keyboard,Camera,Other
Apple iPhone 3G[59],412 MHz ARM1176JZF-S,8 or 16 GB,128 MB,iOS 2 upgradeable to iOS 4,SpringBoard,88.2 cm³,133 g,3.5" 320 × 480,Soft QWERTY,1.92 MP,accelerometer aGPS multi-touch proximity and ambient light sensors Wi-Fi 802.11 b/g Bluetooth 2.0 + EDR PowerVR MBX Lite 3D[9] GPU
HTC Dream[60],528 MHz Qualcomm MSM7201A,256 MB,192 MB,Android 1.6,-,112.1 cm³,158 g,3.2" 320 × 480,Slide-out QWERTY keyboard,3.2 MP AF,accelerometer aGPS digital compass microSDHC
HTC Touch Diamond[61],528 MHz Qualcomm MSM7201A or 400 MHz Qualcomm MSM7500, 4 GB,128 192 or 256 MB,Windows Mobile 6.1,HTC TouchFlo3D,59 cm³,110 g,2.8" 480 × 640,Soft QWERTY,3.15 MP AF (rear); 0.31 MP (front),accelerometer aGPS FM radio w/ RDS Bluetooth 2.0 +EDR Wi-Fi b/g ambient light sensor
HTC Touch HD,528 MHz Qualcomm MSM7201A,512 MB,288 MB,Windows Mobile 6.1,HTC TouchFlo3D,87 cm³,146 g,3.8" 480 × 800,Soft QWERTY,4.92 MP AF 0.31 MP,accelerometer aGPS FM radio microSDHC
HTC Touch Pro[62][63],528 MHz Qualcomm MSM7201A,512 MB,160 or 288 MB,Windows Mobile 6.1,HTC TouchFlo3D,94 cm³,165 g,2.8" 480 × 640,Slide-out QWERTY,3.15 MP AF with flash 0.31 MP,accelerometer aGPS FM radio microSDHC
LG Incite[64],528 MHz Qualcomm MSM7201A,256 MB,128 MB,Windows Mobile 6.1,LG,84 cm³,120 g,3.0" 240 × 400,Soft QWERTY,3.15 MP AF 0.31 MP,accelerometer aGPS FM radio microSDHC
Motorola RIZR Z10[65],330 MHz Texas Instruments OMAP2420,128 MB,64 MB,Symbian 9.2 UIQ 3.2,-,91 cm³,115 g,2.2" 240 × 320,Numeric with T9,3.15 MP AF with flash 0.31 MP,microSDHC
Nokia 5800 XpressMusic[66],434 MHz Freescale MXC300-30,256 MB,128 MB,Symbian 9.4 S60 5th Edition,-,83 cm³111 × 51.7 × 15.5 mm,109 g,3.2" 360 × 640,Soft QWERTY,3.15 MP AF and dual LED flash,aGPS microSDHC
Nokia E63[67],369 MHz Freescale MXC300-30,256 MB,128 MB,Symbian 9.2 S60 3rd Edition Feature Pack 1,-,87 cm³113 × 59 × 13 mm,126 g,2.4" 320 × 240,Full QWERTY,2 MP,microSDHC
Nokia E71[68],369 MHz ARM11 Freescale MXC300-30 processor,256 MB,128 MB,Symbian 9.2 S60 3rd Edition Feature Pack 1,-,66 cm³114 × 57 × 10 mm,127 g,2.4" 320 × 240,Full QWERTY,3.2 MP,aGPS microSDHC
Nokia N96[69],264 MHz ARM926EJ-S, 16 GB,128 MB,Symbian 9.3 S60 3rd Edition Feature Pack 2,-,113 cm³,125 g,2.8" 240 × 320,Numeric with T9 multimedia,5 MP AF and dual LED flash,accelerometer aGPS microSDHC
RIM BlackBerry Bold 9000,624 MHZ Marvell PXA930, 1.1 GB,128 MB,BlackBerry OS 4.6,-,105.3 cm³  114 × 66 × 14mm,136 g,2.6" 480 × 320,Full QWERTY,2 MP,aGPS microSDHC
RIM BlackBerry Storm 9500,400 MHz ARM 11 (Qualcomm MSM7600), 1.1 GB,192 MB,BlackBerry OS 4.7,-,98 cm³  112.5 × 62.2 × 14mm,155 g,3.3" 360 × 480,Soft QWERTY,3.15 MP,aGPS microSDHC
Samsung SCH-M495 T*OMNIA,806 MHz Marvell PXA312, 16 GB,128 MB,Windows Mobile 6.1,-,91.4 cm³  115.2 × 58.1 × 13.65mm,131 g,3.3" 480 × 800,Soft QWERTY,5 MP,aGPS microSDHC
Samsung SGH-i900 Omnia,624 MHz Marvell PXA310, 8 16 GB,128 MB,Windows Mobile 6.1,-,79.7 cm³  112 × 56.9 × 12.5mm,122 g,3.2" 400 × 240,Soft QWERTY,5 MP AF with dual LED flash face and smile detection,GPS aGPS accelerometer FM radio w/ RDS microSDHC ambient light sensor Wi-Fi b/g Bluetooth 2.0+EDR stereo
Samsung SGH-i907 Epix,624 MHz Marvell PXA310,256 MB,128 MB,Windows Mobile 6.1,-,92 cm³  116 × 61 × 13mm,125 g,2.5" 320 × 320,Full QWERTY,2 MP,aGPS microSDHC
Sony Ericsson XPERIA X1[70],528 MHz ARM1136EJ-S,512 MB,384 MB,Windows Mobile 6.1,-,99 cm³,158 g,3.0" 800 × 480,Full slide-out QWERTY,3.15 MP AF,aGPS microSDHC
