Model,CPU,GPU,Storage capacity,RAM,OS,UI,Size,Weight,Display,Keyboard,Camera,Other
Apple iPhone 4[46], 800 MHz Apple A4,PowerVR SGX 535,8 16 or 32 GB,512 MB,iOS 4 upgradeable to iOS 7,SpringBoard,62.8 cm³  115.2 × 58.6 × 9.3 mm,137 g,3.5" 640 × 960 Retina display 326 ppi,Soft QWERTY,5.0 MP AF with LED flash and geotagging 1280 × 720 video at 30 frame/s (rear); 0.3 MP VGA (front),3-axis accelerometer 3-axis gyroscope aGPS multi-touch proximity and ambient light sensors digital compass Wi-Fi b/g/n Bluetooth 2.1+EDR
HTC 7 Mozart, 1 GHz Qualcomm QSD 8250 Scorpion (Snapdragon),Adreno 200,8.5 GB,576 MB,Windows Phone 7,-,85.2 cm³119 × 60.2 × 11.9 mm,130 g,3.7" 480 × 800,Soft QWERTY,8 MP AF CMOS sensor with xenon flash 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors digital compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR Dolby mobile sound
HTC 7 Surround, 1 GHz Qualcomm QSD 8250 Scorpion (Snapdragon),-,16.5 GB,448 MB,Windows Phone 7,-,95.4 cm³119.7 × 61.5 × 13 mm,165 g,3.8" 480 × 800,Soft QWERTY,5 MP AF with flash 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors digital compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR kickstand slide-out speakers
HTC 7 Trophy, 1 GHz Qualcomm QSD 8250 Scorpion (Snapdragon),Adreno 200,8.5 GB,576 MB,Windows Phone 7,-,92.8 cm³  118.5 × 65.5 × 12 mm,140 g,3.8" 480 × 800,Soft QWERTY,5 MP AF with flash 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors digital compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR dual microphone[citation needed] Dolby mobile sound
HTC Aria,600 MHz Qualcomm MSM7227,-,512 MB,384 MB,Android 2.1 upgradable to 2.2,HTC Sense,70 cm³  103.8 × 57.7 × 11.7 mm,115 g,3.2" 320 × 480,Soft QWERTY,5 MP with AF and geotagging,3-axis accelerometer GPS multi-touch proximity and light sensors microSD digital compass Wi-Fi b/g Bluetooth 2.1+EDR
HTC Desire, 1 GHz Qualcomm QSD 8250 Snapdragon,Adreno 200,512 MB,576 MB,Android 2.1 upgradable to 2.3,HTC Sense,85 cm³119 × 60 × 11.9 mm,135 g,3.7" 480 × 800 AMOLED or SLCD,Soft QWERTY,5 MP AF with LED flash geotagging 720p HD recording (2.2 update needed),microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g Bluetooth 2.1+EDR
HTC Desire HD, 1 GHz Qualcomm MSM 8255 Scorpion (Snapdragon),Adreno 205, 1.5 GB,768 MB,Android 2.2,HTC Sense,98.7 cm³123 × 68 × 11.8 mm,164 g,4.3" 480 × 800 SLCD,Soft QWERTY,8 MP AF with dual LED flash geotagging 720p HD recording,microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g/n Bluetooth 2.1+EDR DLNA support
HTC Desire Z,800 MHz Qualcomm MSM 7230,Adreno 205, 1.5 GB,512 MB,Android 2.2 upgradable to 2.3.3,HTC Sense,101.8 cm³119 × 60.4 × 14.2 mm,180 g,3.7" 800 × 480 SLCD,Slide-out QWERTY,5 MP AF with LED flash geotagging 720p HD recording,microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g/n Bluetooth 2.1+EDR DLNA support
HTC HD Mini,600 MHz Qualcomm,-,512 MB,384 MB,Windows Mobile 6.5 Professional,HTC Sense,70 cm³103.8 × 57.7 × 11.7 mm,110 g,3.2" 320 × 480,Soft QWERTY,5 MP with AF,accelerometer GPS multi-touch proximity and ambient light sensors FM radio Wi-Fi b/g Bluetooth 2.1+EDR
HTC HD7, 1 GHz Qualcomm QSD 8250 Scorpion (Snapdragon),Adreno 200, 8.5 or 16.5 GB (Europe or Asia respectively),576 MB,Windows Phone 7,-,85 cm³122 × 68 × 11.2 mm,162 g,4.3" 480 × 800,Soft QWERTY,5 MP AF CMOS sensor with dual LED flash 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch proximity and ambient light sensors compass FM radio Wi-Fi b/g/n Bluetooth 2.1+EDR magnetometer Dolby mobile and SRS surround sound kickstand
HTC Legend,600 MHz Qualcomm MSM7227,-,512 MB,384 MB,Android 2.1 upgradable to 2.2,HTC Sense,72.5 cm³112 × 56.3 × 11.5 mm,126 g,3.2" 320 × 480 AMOLED,Soft QWERTY,5 MP AF with flash geotagging,3-axis accelerometer GPS multi-touch proximity and ambient light sensors microSD FM radio compass Wi-Fi b/g Bluetooth 2.1+EDR
Nexus One, 1 GHz Qualcomm QSD 8250 Snapdragon,Adreno 200,512 MB,512 MB,Android 2.1 upgradable to 2.3.4,-,81.8 cm³119 × 59.8 × 11.5 mm,130 g,3.7" 480 × 800,Soft QWERTY,5.0 MP AF with LED flash geotagging 720 × 480 video at 20 frame/s or higher,aGPS microSDHC proximity and ambient light sensors 3-axis accelerometer digital compass trackball Wi-Fi b/g/n Bluetooth 2.1+EDR
HTC Smart,300 MHz,-,256 MB,256 MB,Brew Mobile Platform,-,73.2 cm³104 × 55 × 12.8 mm,108 g,2.8" 240 × 320,Soft QWERTY,3 MP with flashlight,microSD Bluetooth 2.0+EDR
HTC Wildfire,528 MHz Qualcomm MSM7225,-,512 MB,384 MB,Android 2.1 upgradable to 2.2,HTC Sense,78.6 cm³  106.8 × 60.4 × 12.2 mm,118 g,3.2" 240 × 320,Soft QWERTY,5 MP AF with LED flash geotagging,microSD accelerometer GPS A-GPS multi-touch proximity sensor FM radio compass Wi-Fi b/g Bluetooth 2.1+EDR
LG Optimus 7, 1 GHz Qualcomm QSD 8650 Scorpion (Snapdragon),Adreno 200,16.5 GB,512 MB,Windows Phone 7,-,85.9 cm³125 × 59.8 × 11.5 mm,157 g,4.0" 480 × 800,Soft QWERTY,5 MP AF with LED flash and geotagging 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch Proximity and ambient light sensors digital compass FM Radio Wi-Fi b/g/n Bluetooth 2.1+EDR
LG Optimus One P500[47],600 MHz,-,150 MB,512 MB,Android 2.2 upgradable to 2.3,LG,89.1 cm³  113.5 × 59 × 13.3 mm,129 g,3.2" 320 × 480,Soft QWERTY,3.0 MP AF,accelerometer aGPS FM radio microSDHC DivX/Xvid
Nokia C5-00[48],600 MHz ARM11,-,256 MB,128 MB,Symbian 9.3,-,56.2 cm³112 × 46 × 12.3 mm,89.3 g,2.2" 320 × 240,keypad,3.2 MP,GPS microSDHC
Nokia N8[49],680 MHz ARM11 processor (ARM v6 architecture),Broadcom BCM2727 VideoCore III, 16 GB,256 MB,Symbian^3,-,86 cm³113.5mm × 59mm × 12.9 mm,135 g,3.5" 640 × 360,Soft QWERTY,12 MP f/2.8 AF rear with xenon flash 720p recording; 0.3 MP VGA front,FM transmitter aGPS microSDHC proximity sensor accelerometer magnetometer
Palm Pre Plus[50],600 MHz ARM Cortex-A8,-, 16 GB,512 MB,webOS 1.4.5,-,101.4 cm³,138.5 g,3.1" 320 × 480,Slide-down QWERTY,3.15 MP with LED flash geotagging and video capture,Multi-touch aGPS ambient light and proximity sensors accelerometer Wi-Fi b/g Bluetooth 2.1+EDR Stereo
Palm Pre 2, 1 GHz Texas Instruments OMAP3630,-, 16 GB,512 MB,webOS 2.0,-,113.7 cm³  100.7 × 59.6 × 16.9mm,145 g,3.1" 320 × 480,Slide-out QWERTY,5 MP AF with LED flash and geotagging,GPS aGPS ambient light and proximity sensors accelerometer Wi-Fi b/g compass Bluetooth 2.1+EDR
Samsung Galaxy S, 1 GHz ARM Cortex-A8 Samsung Hummingbird,PowerVR SGX 540, 16 GB + 0-32 GB micro SD,512 MB,Android 2.1,TouchWiz 3.0,77.8 cm³,118 g,4.0" 480 × 800 Super AMOLED,Soft QWERTY,5 MP AF 720p HD video recording (rear); 1.3 MP (front),aGPS microSDHC TV-Out accelerometer multi-touch Wi-Fi Bluetooth DLNA support
Nexus S, 1 GHz ARM Cortex-A8 Samsung Hummingbird S5PC110,PowerVR SGX 540, 16 GB,512 MB,Android 2.3,-,84.3 cm³  123.9 × 63 × 10.8 mm,129 g,4.0" 480 × 800 Super AMOLED,Soft QWERTY,5 MP 2560×1920 AF with LED flash 720×480 video recording (rear); 0.3 MP 640×480(front),3-axis gyroscope multi-touch aGPS proximity and ambient light sensors digital compass Wi-Fi b/g/n Bluetooth 2.1 + EDR NFC
Samsung Omnia 7, 1 GHz Qualcomm QSD 8250 Scorpion (Snapdragon),Adreno 200,1 GB,512 MB,Windows Phone 7,-,86.4 cm³122.4 × 64.2 × 11 mm,138.2 g,4.0" 480 × 800 Super AMOLED,Soft QWERTY,5 MP AF with LED flash and geotagging 720p HD video recording,3-axis accelerometer GPS aGPS multi-touch Proximity and ambient light sensors digital compass FM Radio Wi-Fi b/g/n Bluetooth 2.1+EDR
Sony Ericsson Xperia X10, 1 GHz Qualcomm QSD8250 Snapdragon,Adreno 200, 1.0 GB + 0-32 GB micro SD,384 MB,Android 2.1,Mediascape UI,97.5 cm³  119 × 63 × 13 mm,135 g,4.0" 854 × 480,Soft QWERTY,8 MP 3264 × 2448 pixels AF LED flash,HSDPA 10.2 Mbit/s 3.5mm Jack Wi-Fi 802.11 b/g
