Model,CPU,Storage capacity,RAM,OS,UI,Dimensions,Weight
Samsung Galaxy Note 3,2.3 GHz Quad-Core Snapdragon 800,Adreno 330,32 GB,3 GB,Android 4.3 upgradeable to Android 4.4.2 and Android 5.0,TouchWiz UI – Nature UX 2.5,137.4 × 68.2 × 9.3 mm
HTC One,1.7 GHz quad-core Krait 300 (snapdragon 600),Adreno 320,32 64 GB,2 GB,Android 4.1.2 upgradable to v5.0.1 Android Lollipop,HTC Sense 5.0 upgradable to v6.0,137.4 × 68.2 × 9.3 mm
LG Nexus 5[20],2.3 GHz Quad-Core (Snapdragon 800) CPU Krait 400,Adreno 330,16 32 GB,2 GB LPDDR3 800 MHz,Android 4.4 (KitKat),-,69.1 x 137.9 x 8.6 mm
Apple iPhone 5S,1.3 GHz dual-core Apple A7 (64-bit),PowerVR G6430 (four cluster),16 32 or 64 GB,1 GB LPDDR3 RAM,iOS 7 upgradeable to iOS 12,SpringBoard,123.8 x 58.6 x 7.6 mm
Apple iPhone 5C,1.3 GHz dual-core Apple A6 (32-bit),PowerVR SGX543MP3 (triple-core),8 16 or 32 GB,1 GB LPDDR2 RAM,iOS 7 upgradeable to iOS 10,SpringBoard,124.4 x 59.2 x 8.97 mm
BlackBerry Z10[22],1.5 GHz dual-core Qualcomm Snapdragon S4 Plus (LTE) or TI OMAP 4470 (Non-LTE),Adreno 225 (LTE) or PowerVR SGX 544 (Non-LTE),16 GB,2 GB,BlackBerry 10,-,130 × 65.6 × 9 mm
Blackberry Z30,1.7 GHz dual-core Qualcomm Snapdragon S4 Plus (LTE) (MSM89A60 T Pro),Adreno 320 (LTE) or PowerVR SGX 544 (Non-LTE),16 GB,2 GB,BlackBerry 10.2,-,140.7 x 72 x 9.4 mm
LG G2[23],2.26 GHz Quad-Core (Snapdragon 800) CPU Krait 400,Adreno 330,32 GB eMMC,2 GB LPDDR3 800 MHz,Android 4.2.2 (Jelly Bean),LG UX,70.9 x 138.5 x 9.1 mm
Samsung Galaxy S4[24],1.9 GHz quad-core Krait 300 APQ8064T (Snapdragon 600) or 1.6 GHz quad-core ARM Cortex-A15 and 1.2 GHz quad-core ARM Cortex-A7 (Samsung Exynos 5 Octa 5410),Chipset: Exynos 5410 Octa or Snapdragon 600 GPU: PowerVR SGX 544MP3 or Adreno 320,16 32 64 GB,2 GB,Android 4.2.2 (Jelly Bean),TouchWiz UI,136.6 x 69.8 x 7.9mm mm
Sony Xperia Z1,2.2 GHz quad-core Krait,Adreno 330,16 GB,2 GB,Android 4.2.2 Jelly Bean (initial),-,144 × 74 × 8.5 mm
Sony Xperia Z[26][27],1.5 GHz quad-core Snapdragon S4 Pro,Adreno 320,16 GB,2 GB,Android 4.1 (Jelly Bean) planned upgrade to 4.2,Timescape UI Sony Mobile BRAVIA Engine 2 PlayStation Certified,139 × 71 × 79 mm
Nokia Lumia 1020, 1.5 GHz Qualcomm (MSM8960 Snapdragon S4 Plus) krait,Adreno 225,32 GB64 GB(Telefónica version),2 GB,Windows Phone 8,Metro UI,99 cm³  130.3 × 70.8 × 10.7 mm
